hoice {
  short: hoice
  graph: hoice
  cmd: "hoice -c off"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^unknown" | wc -l | tr -d ' '` -ne 0 ] \
|| [ `cat $out | grep -e "^(error" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit 2
elif [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
132 "clauses/lia/termination/indirect02.smt2" 0.011914272 0
133 "clauses/lia/termination/indirect03.smt2" 0.040847746 0
134 "clauses/lia/termination/indirectHO00.smt2" 0.036595131 0
135 "clauses/lia/termination/indirectHO01.smt2" 0.072082796 0
136 "clauses/lia/termination/indirectHO02.smt2" 0.012017582 0
137 "clauses/lia/termination/indirectHO03.smt2" 0.036496224 0
138 "clauses/lia/termination/McCarthy9100.smt2" 0.010408614 0
139 "clauses/lia/termination/McCarthy9101.smt2" 0.011381672 0
140 "clauses/lia/termination/McCarthy9102.smt2" 0.027057817 0
141 "clauses/lia/termination/McCarthy9103.smt2" 0.725746208 0
142 "clauses/lia/termination/toChurch00.smt2" 0.041694619 0
143 "clauses/lia/termination/toChurch01.smt2" 0.015104979 0
144 "clauses/lia/termination/toChurch02.smt2" 0.015592177 0
145 "clauses/lia/termination/toChurch03.smt2" 0.021954686 0
146 "clauses/lia/termination/toChurch04.smt2" 0.026436085 0
147 "clauses/lia/termination/toChurch05.smt2" 0.076639142 0
148 "clauses/lia/termination/up_down00.smt2" 0.013599723 0
149 "clauses/lia/termination/up_down01.smt2" 0.031357464 0
150 "clauses/lia/termination/up_down02.smt2" 0.071177419 10
151 "clauses/lia/termination/up_down03.smt2" 0.013430743 0
152 "clauses/lia/termination/up_down04.smt2" 0.031228393 0
153 "clauses/lia/termination/up_down05.smt2" 0.075376583 10
154 "clauses/lia/termination/up_down06.smt2" 0.014016104 0
155 "clauses/lia/termination/up_down07.smt2" 0.013927500 0
156 "clauses/lia/termination/x_plus_2_pow_n00.smt2" 0.070956856 0
157 "clauses/lia/termination/x_plus_2_pow_n01.smt2" 0.130969573 10
158 "clauses/lia/termination/x_plus_2_pow_n02.smt2" 0.014472778 0
159 "clauses/lia/termination/x_plus_2_pow_n03.smt2" 0.015354621 0
160 "clauses/lia/termination/x_plus_2_pow_n04.smt2" 0.046139972 0
161 "clauses/lia/termination/zip00.smt2" 0.011293088 0
162 "clauses/lia/termination/zip01.smt2" 0.013412012 0
163 "clauses/lia/termination/zip02.smt2" 0.025914235 0
